Degree:2
48 vertices, 47 edges 
0: 1 
1: 0 2 
2: 1 3 
3: 2 4 
4: 3 5 
5: 4 6 
6: 5 7 
7: 6 8 
8: 7 9 
9: 8 10 
10: 9 11 
11: 10 12 
12: 11 13 
13: 12 14 
14: 13 15 
15: 14 16 
16: 15 17 
17: 16 18 
18: 17 19 
19: 18 20 
20: 19 21 
21: 20 22 
22: 21 23 
23: 22 24 
24: 23 25 
25: 24 26 
26: 25 27 
27: 26 28 
28: 27 29 
29: 28 30 
30: 29 31 
31: 30 32 
32: 31 33 
33: 32 34 
34: 33 35 
35: 34 36 
36: 35 37 
37: 36 38 
38: 37 39 
39: 38 40 
40: 39 41 
41: 40 42 
42: 41 43 
43: 42 44 
44: 43 45 
45: 44 46 
46: 45 47 
47: 46 

--------------------------

Degree:2
48 vertices, 47 edges 
0: 33 32 
1: 31 33 
2: 32 35 
3: 35 34 
4: 34 30 
5: 30 29 
6: 36 37 
7: 28 31 
8: 29 36 
9: 26 27 
10: 27 28 
11: 39 40 
12: 37 24 
13: 24 25 
14: 25 39 
15: 40 38 
16: 26 
17: 43 42 
18: 42 41 
19: 38 43 
20: 41 44 
21: 44 45 
22: 45 46 
23: 46 47 
24: 12 13 
25: 13 14 
26: 16 9 
27: 9 10 
28: 10 7 
29: 5 8 
30: 4 5 
31: 7 1 
32: 0 2 
33: 1 0 
34: 3 4 
35: 2 3 
36: 8 6 
37: 6 12 
38: 15 19 
39: 14 11 
40: 11 15 
41: 18 20 
42: 17 18 
43: 19 17 
44: 20 21 
45: 21 22 
46: 22 23 
47: 23 

--------------------------

Degree:2
48 vertices, 46 edges 
0: 3 2 
1: 3 
2: 0 4 
3: 1 0 
4: 2 6 
5: 8 7 
6: 4 8 
7: 5 9 
8: 6 5 
9: 7 11 
10: 13 12 
11: 9 13 
12: 10 14 
13: 11 10 
14: 12 16 
15: 18 17 
16: 14 18 
17: 15 19 
18: 16 15 
19: 17 21 
20: 23 22 
21: 19 23 
22: 20 24 
23: 21 20 
24: 22 26 
25: 28 27 
26: 24 28 
27: 25 29 
28: 26 25 
29: 27 31 
30: 33 32 
31: 29 33 
32: 30 34 
33: 31 30 
34: 32 36 
35: 38 37 
36: 34 38 
37: 35 39 
38: 36 35 
39: 37 41 
40: 43 42 
41: 39 43 
